Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
433;Brasilândia de Minas;3108552;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31085540] PREF MUN DE BRASILÂNDIA DE MINAS - PMBM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;15020;;2022;0,44969450101832986;0,2156;0,6000000000000001;0,2691176470588235;0,38360303701928833;Baixo;31062000
434;Santana dos Montes;3159100;1 - De 1 até 30.000 hab.;[31591011] Prefeitura Municipal de Santana dos Montes - PMSM | [31591040] Prefeitura Municipal de Santana Dos Montes - PMSM;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3469;;2022;0,2525474525474526;0,584390243902439;0,32808988764044944;0,36911764705882355;0,38353630778729114;Baixo;31591011
435;São João do Manteninha;3162575;1 - De 1 até 30.000 hab.;[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31625712] Prefeitura Municipal de São João do Manteninha - PMSJM | [31625740] PREFEITURA MUNICIPAL DE SÃO JOÃO DO MANTENINHA - MG;Água e Esgoto | Água e Esgoto | Res. Sólidos;Administração pública direta | Empresa pública | Administração pública direta;5331;;2022;0,3280092592592592;0,6266;0,18352402745995428;0,3951680672268908;0,38332533848652606;Baixo;31686000
436;Brazópolis;3108909;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31089011] Prefeitura Municipal de Brasópolis - PMB | [31089040] Prefeitura Municipal de Brazópolis - PMB;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;14246;;2022;0,19042769857433808;0,6174545454545455;0,5817578772802654;0,13634453781512607;0,38149616478106874;Baixo;31062000
437;Santana do Deserto;3158607;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31586040] Prefeitura Municipal de Santana do Deserto - PMSD;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3747;;2022;0,38574338085539717;;0,4021505376344087;0,35630252100840343;0,38139881316606977;Baixo;31062000
438;Pirapora;3151206;2 - De 30.001 até 100.000 hab.;[31512011] Serviço Autônomo de Água e Esgoto - SAAE | [31512040] SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO - SAAE;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;55606;;2022;0,35844155844155845;0,19194476409666286;0,6829187396351577;0,29033613445378154;0,38091029915679014;Baixo;31512011
439;Arantina;3103603;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31036040] Prefeitura Municipal de Arantina - PMA;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2915;;2022;0,2843177189409369;;0,5254480286738351;0,3308823529411765;0,3802160335186495;Baixo;31062000
440;Gouveia;3127602;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31276011] Prefeitura Municipal de Gouveia - PMG | [31276040] Prefeitura Municipal de Gouveia - PMGMG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;11331;;2022;0,2788187372708757;0,4445528455284553;0,4975280898876404;0,2951680672268907;0,37901693497846556;Baixo;31062000
441;Carmo do Rio Claro;3114402;;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31144040] Departamento de Meio Ambiente - DMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;20954;;2022;0,36985743380855396;0,2394;0,5266787658802178;;0,3786453998962573;Baixo;31062000
442;Chapada do Norte;3116100;;[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31161040] Prefeitura Municipal de Chapada do Norte - PMCN;Água e Esgoto | Res. Sólidos;Empresa pública | Administração pública direta;10337;;2022;0,41178821178821196;0,31990794016110474;0,4021505376344087;;0,3779488965279085;Baixo;31686000
443;Cipotânea;3116308;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31163011] Prefeitura Municipal de Cipotânea - PMC | [31163040] PREFEITURA MUNICIPAL DE CIPOTANEA - CIPOTÂNEA;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5581;;2022;0,24236252545824846;0,8087272727272729;0,21409691629955951;0,24600840336134455;0,37779877946160634;Baixo;31062000
444;Cana Verde;3111903;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31119011] Prefeitura Municipal de Cana Verde - PMCV | [31119040] PREFEITURA MUNICIPAL DE CANA VERDE - PMCV;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5272;;2022;0,23421588594704681;0,6204;0,27455197132616493;0,3806722689075631;0,3774600315451937;Baixo;31062000
445;Rio Vermelho;3156007;;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31560011] Prefeitura Municipal de Rio Vermelho - PMRV | [31560040] Prefeitura Municipal de Rio Vermelho - PMRV;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;12641;;2022;0,26558044806517306;0,38980000000000004;0,4767025089605736;;0,3773609856752489;Baixo;31062000
446;Bias Fortes;3106804;1 - De 1 até 30.000 hab.;[31068011] Prefeitura Municipal de Bias Fortes - PMBF | [31068040] Prefeitura Municipal de Bias Fortes - PMBF;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3361;;2022;0,2529875986471251;0,8087272727272729;0,0;0,44726890756302534;0,37724594473435585;Baixo;31068011
447;Bom Repouso;3107901;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31079040] Prefeitura Municipal de Bom Repouso - PMBR;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;12649;;2022;0,34989816700611;0,13440000000000002;0,5541573033707865;0,46974789915966386;0,3770508423841401;Baixo;31062000
448;Doresópolis;3123403;1 - De 1 até 30.000 hab.;[31234011] Prefeitura Municipal de Doresópolis - PMD | [31234040] Prefeitura Municipal de Doresopolis                         Doresópolis - PMD;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;1461;;2022;0,28635437881873727;0,49420000000000003;0,4322580645161291;0,2951680672268907;0,3769951276404393;Baixo;31234011
449;Buritizeiro;3109402;1 - De 1 até 30.000 hab.;[31094011] Serviço Autônomo de Água e Esgoto - SAAE;Água;Autarquia;23910;;2022;0,484521384928717;;;0,2691176470588235;0,3768195159937703;Baixo;31094011
