Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
453;Capitão Enéas;3112703;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31127040] PREFEITURA MUNICIPAL - PMCE;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;14108;12479,0;2020-2022;0,24275724275724278;0,031;0,8508688783570302;0,37735470941883764;0,37549520763327765;Baixo;31062000
454;Nova Resende;3145109;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31451040] Gabriela D. Guelere Transportes LTDA - Gabriela Transportes;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Empresa privada;16387;9759,0;2020-2022;0,2773930753564155;;0,39799749687108876;0,45090180360721444;0,37543079194490625;Baixo;31062000
455;Veredinha;3171071;1 - De 1 até 30.000 hab.;[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31710740] Prefeitura Municipal de Veredinha - PMV;Água e Esgoto | Res. Sólidos;Empresa pública | Administração pública direta;5181;3894,0;2020-2022;0,3550449550449551;0,2968;0,3524210526315789;0,494188376753507;0,3746135961075102;Baixo;31686000
456;Guanhães;3128006;2 - De 30.001 até 100.000 hab.;[31280011] Serviço Autônomo de Água e Esgoto - SAAE | [31280040] PREFEITURA MUNICIPAL DE GUANHÃES - PMG;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;32244;28313,0;2020-2022;0,3655804480651731;0,44560000000000005;0,5271508379888268;0,1601202404809619;0,37461288163374046;Baixo;31280011
457;Dores do Turvo;3123304;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31233011] Prefeitura Municipal de Dores do Turvo - PMDT | [31233040] PREFEITURA MUNICIPAL DE DORES DO TURVO-MG - PMDT;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4987;1912,0;2020-2022;0,2443991853360489;0,6096;0,39536842105263154;0,24600840336134455;0,37384400243750626;Baixo;31062000
458;Coronel Pacheco;3119609;1 - De 1 até 30.000 hab.;[31196011] Prefeitura Municipal de Coronel Pacheco - PMCP | [31196040] Prefeitura Municipal de Coronel Pacheco - PMCP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2762;2226,0;2020-2022;0,22380467955239067;0,28690909090909095;0,37113924050632907;0,6116232464929859;0,3733690643651991;Baixo;31196011
459;Curral de Dentro;3120870;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31208711] Prefeitura Municipal de Curral de Dentro - PMCD | [31208740] Prefeitura Municipal de Curral de Dentro - PMCDD;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;7406;6643,0;2020-2022;0,5556008146639512;0,5792865362485616;0,2475049900199601;0,11042084168336672;0,37320329565395993;Baixo;31062000
460;Alto Caparaó;3102050;1 - De 1 até 30.000 hab.;[31020511] Prefeitura Municipal de Alto Caparaó - PMAC | [31020540] Prefeitura Municipal de Alto Caparaó - PMAC;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;5795;4444,0;2020-2022;0,3410589410589411;0,4455614973262032;0,3330526315789474;0,3727454909819639;0,37310464023651385;Baixo;31020511
461;Campo Azul;3111150;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31111540] Prefeitura Municipal de Campo Azul - PMCA;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3714;1612,0;2020-2022;0,3331975560081466;0,638;0,2361516034985423;0,2843687374749499;0,37292947424540973;Baixo;31062000
462;Cajuri;3110202;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31102040] Secretaria de Obras Públicas e Infraestrutura - SEOPI;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4088;2051,0;2020-2022;0,22036659877800405;0,442;0,21872074882995318;0,6080160320641282;0,37227584491802135;Baixo;31062000
463;Goiabeira;3127370;1 - De 1 até 30.000 hab.;[31273711] Prefeitura Municipal de Goiabeira - PMG | [31273740] PREFEITURA MUNICIPAL DE GOIABEIRA - PMG;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2830;2756,0;2020-2022;0,4617107942973524;0,3592;0,4268354430379747;0,2410821643286573;0,37220710041599614;Baixo;31273711
464;Vargem Alegre;3170578;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31705740] Prefeitura Municipal de Vargem Alegre - PMVA;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;5780;4770,0;2020-2022;0,3580448065173116;0,5958573072497124;0,10821052631578948;0,42665330661322654;0,37219148667401003;Baixo;31062000
